id,code,name,state_id/id
res_country_municipality_1,001,MEDELLIN,con_profile.account_base_co_state_05
res_country_municipality_2,002,ABEJORRAL,con_profile.account_base_co_state_05
res_country_municipality_3,004,ABRIAQUI,con_profile.account_base_co_state_05
res_country_municipality_4,021,ALEJANDRIA,con_profile.account_base_co_state_05
res_country_municipality_5,030,AMAGA,con_profile.account_base_co_state_05
res_country_municipality_6,031,AMALFI,con_profile.account_base_co_state_05
res_country_municipality_7,034,ANDES,con_profile.account_base_co_state_05
res_country_municipality_8,036,ANGELOPOLIS,con_profile.account_base_co_state_05
res_country_municipality_9,038,ANGOSTURA,con_profile.account_base_co_state_05
res_country_municipality_10,040,ANORI,con_profile.account_base_co_state_05
res_country_municipality_11,042,SANTAFE DE ANTIOQUIA,con_profile.account_base_co_state_05
res_country_municipality_12,044,ANZA,con_profile.account_base_co_state_05
res_country_municipality_13,045,APARTADO,con_profile.account_base_co_state_05
res_country_municipality_14,051,ARBOLETES,con_profile.account_base_co_state_05
res_country_municipality_15,055,ARGELIA,con_profile.account_base_co_state_05
res_country_municipality_16,059,ARMENIA,con_profile.account_base_co_state_05
res_country_municipality_17,079,BARBOSA,con_profile.account_base_co_state_05
res_country_municipality_18,086,BELMIRA,con_profile.account_base_co_state_05
res_country_municipality_19,088,BELLO,con_profile.account_base_co_state_05
res_country_municipality_20,091,BETANIA,con_profile.account_base_co_state_05
res_country_municipality_21,093,BETULIA,con_profile.account_base_co_state_05
res_country_municipality_22,101,CIUDAD BOLIVAR,con_profile.account_base_co_state_05
res_country_municipality_23,107,BRICEÑO,con_profile.account_base_co_state_05
res_country_municipality_24,113,BURITICA,con_profile.account_base_co_state_05
res_country_municipality_25,120,CACERES,con_profile.account_base_co_state_05
res_country_municipality_26,125,CAICEDO,con_profile.account_base_co_state_05
res_country_municipality_27,129,CALDAS,con_profile.account_base_co_state_05
res_country_municipality_28,134,CAMPAMENTO,con_profile.account_base_co_state_05
res_country_municipality_29,138,CAÑASGORDAS,con_profile.account_base_co_state_05
res_country_municipality_30,142,CARACOLI,con_profile.account_base_co_state_05
res_country_municipality_31,145,CARAMANTA,con_profile.account_base_co_state_05
res_country_municipality_32,147,CAREPA,con_profile.account_base_co_state_05
res_country_municipality_33,148,EL CARMEN DE VIBORAL,con_profile.account_base_co_state_05
res_country_municipality_34,150,CAROLINA,con_profile.account_base_co_state_05
res_country_municipality_35,154,CAUCASIA,con_profile.account_base_co_state_05
res_country_municipality_36,172,CHIGORODO,con_profile.account_base_co_state_05
res_country_municipality_37,190,CISNEROS,con_profile.account_base_co_state_05
res_country_municipality_38,197,COCORNA,con_profile.account_base_co_state_05
res_country_municipality_39,206,CONCEPCION,con_profile.account_base_co_state_05
res_country_municipality_40,209,CONCORDIA,con_profile.account_base_co_state_05
res_country_municipality_41,212,COPACABANA,con_profile.account_base_co_state_05
res_country_municipality_42,234,DABEIBA,con_profile.account_base_co_state_05
res_country_municipality_43,237,DON MATIAS,con_profile.account_base_co_state_05
res_country_municipality_44,240,EBEJICO,con_profile.account_base_co_state_05
res_country_municipality_45,250,EL BAGRE,con_profile.account_base_co_state_05
res_country_municipality_46,264,ENTRERRIOS,con_profile.account_base_co_state_05
res_country_municipality_47,266,ENVIGADO,con_profile.account_base_co_state_05
res_country_municipality_48,282,FREDONIA,con_profile.account_base_co_state_05
res_country_municipality_49,284,FRONTINO,con_profile.account_base_co_state_05
res_country_municipality_50,306,GIRALDO,con_profile.account_base_co_state_05
res_country_municipality_51,308,GIRARDOTA,con_profile.account_base_co_state_05
res_country_municipality_52,310,GOMEZ PLATA,con_profile.account_base_co_state_05
res_country_municipality_53,313,GRANADA,con_profile.account_base_co_state_05
res_country_municipality_54,315,GUADALUPE,con_profile.account_base_co_state_05
