Producto|Tipo de producto|Referencia interna|Seccion|Ubicacion origen|Estado|Categoria|Precio de venta por unidad de medida|Coste|Unidad de medida|Unidad de medida de venta|Unidad de medida de compra|Puede ser vendido|Puede ser comprado|Puede ser alquilado|Tiene componentes|No Mecanico|Tiene multiples unidades|Producto componente|cantidad por defecto|mum-unidad|mum-cant.min|mum-costo por unidad|prov-vendedor|prov-cant.min|prov-precio|inv-ruta|inv-peso|inv-es operado|fact-cargo por reabastecimiento|Notas-descripcion para clientes|Notas para pedidos de entrega|Notas-Descripcion para proveedores|Notas-descripcion para recepciones|REFERENCIA|MARCA
BOMBA ESTACIONARIA DE CONCRETO #1 PZ|Producto almacenable|BECN-001|Alquiler|Physical Locations/B7/Existencias|#33FF00|Bombas de concreto|0||Unit(s)|Cubic meter (m3)|Unit(s)|True|True|True|True|False|True||1||||IMOCOM S.A.|||Comprar||True|REPO. BOMBA DE CONCRETO||||||
BOMBA ESTACIONARIA DE CONCRETO #2 ZM|Producto almacenable|BECN-002|Alquiler|Physical Locations/B7/Existencias|#33FF00|Bombas de concreto|0||Unit(s)|Cubic meter (m3)|Unit(s)|True|True|True|True|False|True||1||||RODRIGUEZ Y LONDOïż½?O S.A.S.|||||True|REPO. BOMBA DE CONCRETO||||||
BOMBA ESTACIONARIA DE CONCRETO #3 ZM|Producto almacenable|BECN-003|Alquiler|Physical Locations/B7/Existencias|#33FF00|Bombas de concreto|0||Unit(s)|Cubic meter (m3)|Unit(s)|True|True|True|True|False|True||1||||RODRIGUEZ Y LONDOïż½?O S.A.S.|||||True|REPO. BOMBA DE CONCRETO||||||
BOMBA ESTACIONARIA DE CONCRETO #4 PZ|Producto almacenable|BECN-004|Alquiler|Physical Locations/B7/Existencias|#33FF00|Bombas de concreto|0||Unit(s)|Cubic meter (m3)|Unit(s)|True|True|True|True|False|True||1||||IMOCOM S.A.|||||True|REPO. BOMBA DE CONCRETO|||||TK-40SR|
BOMBA ESTACIONARIA DE CONCRETO #5 PZ|Producto almacenable|BECN-005|Alquiler|Physical Locations/B7/Existencias|#33FF00|Bombas de concreto|0||Unit(s)|Cubic meter (m3)|Unit(s)|True|True|True|True|False|True||1||||IMOCOM S.A.|||||True|REPO. BOMBA DE CONCRETO|||||TK-40SR|
BC.PZ. ABRAZADERA CUNA C DN 10029332|Producto almacenable|BECN-CPZ1|Alquiler|Physical Locations/B7/Existencias|#33FF00|Complementos|0||Unit(s)|Day(s)|Unit(s)|True|True|True|False|True|False||||||IMOCOM S.A.|||||False|REPO. BC.PZ. ABRAZADERA CUNA C DN 10029332||||||
BC.PZ. ABRAZADERA CUNA C DN 125 100|Producto almacenable|BECN-CPZ2|Alquiler|Physical Locations/B7/Existencias|#33FF00|Complementos|0||Unit(s)|Day(s)|Unit(s)|True|True|True|False|True|False||||||IMOCOM S.A.|||||False|REPO. BC.PZ. ABRAZADERA CUNA C DN 125 100||||||
BC.PZ. ABRAZADERA FLANCHE PLANO|Producto almacenable|BECN-CPZ3|Alquiler|Physical Locations/B7/Existencias|#33FF00|Complementos|0||Unit(s)|Day(s)|Unit(s)|True|True|True|False|True|False||||||IMOCOM S.A.|||||False|REPO. BC.PZ. ABRAZADERA FLANCHE PLANO||||||
BC.PZ. BOLA GOMA BLANDA C DN-125 10002832|Producto almacenable|BECN-CPZ4|Alquiler|Physical Locations/B7/Existencias|#33FF00|Complementos|0||Unit(s)|Day(s)|Unit(s)|True|True|True|False|True|False||||||IMOCOM S.A.|||||False|REPO. BC.PZ. BOLA GOMA BLANDA C DN-125 10002832||||||
BC.PZ. BOLA GOMA DURA C DN-125 10002838|Producto almacenable|BECN-CPZ5|Alquiler|Physical Locations/B7/Existencias|#33FF00|Complementos|0||Unit(s)|Day(s)|Unit(s)|True|True|True|False|True|False||||||IMOCOM S.A.|||||False|REPO. BC.PZ. BOLA GOMA DURA C DN-125 10002838||||||
