Producto|Tipo de producto|Referencia interna|Seccion|Categoria|Precio de venta por unidad de medida|Coste|Unidad de medida de compra|Unidad de medida de venta|Unidad de medida|Puede ser vendido|Puede ser comprado|Usado para acarreo|Notas
REPO. BOMBA DE CONCRETO|Servicio|REPO-001|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. ABRAZADERA CUNA C DN 10029332|Servicio|REPO-002|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. ABRAZADERA CUNA C DN 125 100|Servicio|REPO-003|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. ABRAZADERA FLANCHE PLANO|Servicio|REPO-004|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. BOLA GOMA BLANDA C DN-125 10002832|Servicio|REPO-005|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. BOLA GOMA DURA C DN-125 10002838|Servicio|REPO-006|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. CODO 45 M/H C RADIO 500|Servicio|REPO-007|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. CODO 45 M/H RADIO 1000 R1004581|Servicio|REPO-008|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. CODO 90 M/H  RADIO500|Servicio|REPO-009|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. CODO 90 M/H RADIO 1 M 10214938|Servicio|REPO-010|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
REPO. BC.PZ. CODO 90 M/H REF.10004588|Servicio|REPO-011|Servicios|Reposiciones|0|0|Unit(s)|Unit(s)|Unit(s)|True|True|False|
