Producto|Unidad|Cantidad|Precio
BECN-001|Cubic meter (m3)|25|0
BECN-001|Day(s)|0|0
BECN-002|Cubic meter (m3)|25|0
BECN-002|Day(s)|0|0
BECN-003|Cubic meter (m3)|25|0
BECN-003|Day(s)|0|0
BECN-004|Cubic meter (m3)|25|0
BECN-004|Day(s)|0|0
BECN-005|Cubic meter (m3)|25|0
BECN-005|Day(s)|0|0
CD14-001|Hour(s)|6|46660
CD14-001|Day(s)|3|262800
CD14-002|Hour(s)|6|46660
CD14-002|Day(s)|3|262800
CD14-003|Hour(s)|6|46660
CD14-003|Day(s)|3|262800
DD24-001|Hour(s)|6|50000
DD24-001|Day(s)|3|355000
DD24-002|Hour(s)|6|50000
DD24-002|Day(s)|3|355000
DD24-003|Hour(s)|6|50000
DD24-003|Day(s)|3|355000
CMAR-010|Hour(s)|6|50000
CMAR-010|Day(s)|3|156000
CMAR-012|Hour(s)|6|50000
CMAR-012|Day(s)|3|156000
CMAR-013|Hour(s)|6|50000
CMAR-013|Day(s)|3|156000
CMAR-014|Hour(s)|6|50000
CMAR-014|Day(s)|3|156000
CMAR-016|Hour(s)|6|50000
CMAR-016|Day(s)|3|156000
CMAR-018|Hour(s)|6|50000
CMAR-018|Day(s)|3|156000
CMAR-019|Hour(s)|6|50000
CMAR-019|Day(s)|3|156000
CMAR-020|Hour(s)|6|60000
CMAR-020|Day(s)|3|210000
CMAR-021|Hour(s)|6|60000
CMAR-021|Day(s)|3|210000
CMAR-022|Hour(s)|6|50000
CMAR-022|Day(s)|3|156000
PMEZ-001|Cubic meter (m3)|25|0
PMEZ-001|Day(s)|0|0
PMEZ-002|Cubic meter (m3)|25|0
PMEZ-002|Day(s)|0|0
MCAR-002|Hour(s)|6|50000
MCAR-002|Day(s)|3|275000
MCAR-003|Hour(s)|6|50000
MCAR-003|Day(s)|3|275000
MCAR-004|Hour(s)|6|53000
MCAR-004|Day(s)|3|290000
MCAR-005|Hour(s)|6|53000
MCAR-005|Day(s)|3|290000
MCAR-006|Hour(s)|6|67000
MCAR-006|Day(s)|3|340000
MEXC-001|Hour(s)|6|67200
MEXC-001|Day(s)|3|201600
MEXC-001|Hour(s)|6|120000
MEXC-001|Day(s)|3|360000
MEXC-002|Hour(s)|6|67200
MEXC-002|Day(s)|3|201600
MEXC-002|Hour(s)|6|120000
MEXC-002|Day(s)|3|360000
MEXC-003|Hour(s)|6|67200
MEXC-003|Day(s)|3|201600
MEXC-003|Hour(s)|6|120000
MEXC-003|Day(s)|3|360000
PRHD-001|Fracture(s)|10|27000
PRHD-001|Day(s)|3|156000
PRHD-003|Fracture(s)|10|27000
PRHD-003|Day(s)|3|156000
PRHD-004|Fracture(s)|10|27000
PRHD-004|Day(s)|3|156000
PRHD-005|Fracture(s)|10|27000
PRHD-005|Day(s)|3|156000
PRHD-006|Fracture(s)|10|27000
PRHD-006|Day(s)|3|156000
PRHD-007|Fracture(s)|10|27000
PRHD-007|Day(s)|3|156000
PRHD-008|Fracture(s)|10|27000
PRHD-008|Day(s)|3|156000
PRHD-010|Fracture(s)|10|27000
PRHD-010|Day(s)|3|156000
PRHD-011|Fracture(s)|10|27000
PRHD-011|Day(s)|3|156000
PRHD-013|Fracture(s)|10|27000
PRHD-013|Day(s)|3|156000
PRHD-014|Fracture(s)|10|27000
PRHD-014|Day(s)|3|156000
PRHD-015|Fracture(s)|10|27000
PRHD-015|Day(s)|3|156000
PRHD-016|Fracture(s)|10|27000
PRHD-016|Day(s)|3|156000
CD70-001|Hour(s)|6|46700
CD70-001|Day(s)|3|140100
CD70-002|Hour(s)|6|46700
CD70-002|Day(s)|3|140100
CD70-003|Hour(s)|6|46700
CD70-003|Day(s)|3|140100
C700-004|Hour(s)|6|46700
C700-004|Day(s)|3|140100
C700-001|Hour(s)|6|46700
C700-001|Day(s)|3|140100
C700-002|Hour(s)|6|46700
C700-002|Day(s)|3|140100
C700-003|Hour(s)|6|46700
C700-003|Day(s)|3|140100
CS17-001|Hour(s)|6|34000
CS17-001|Day(s)|3|102000
CS17-002|Hour(s)|6|34000
CS17-002|Day(s)|3|102000
CS17-003|Hour(s)|6|34000
CS17-003|Day(s)|3|102000
CS17-004|Hour(s)|6|34000
CS17-004|Day(s)|3|102000
CS17-005|Hour(s)|6|34000
CS17-005|Day(s)|3|102000
CS17-006|Hour(s)|6|34000
CS17-006|Day(s)|3|102000
CS17-007|Hour(s)|6|34000
CS17-007|Day(s)|3|102000
CS17-008|Hour(s)|6|34000
CS17-008|Day(s)|3|102000
CS17-009|Hour(s)|6|34000
CS17-009|Day(s)|3|102000
